Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,year,Social support,Average Happiness,HappinessGrowth
Ivory Coast,Sub-Saharan Africa,151,3.655,0.46534,0.15185,0.46866,0.17922,0.20165,2015,0.7789537500000013,4.2731999656,31.473460492275407
Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.27125,0.39493,0.12832,0.21747,2015,0.7844543750000004,4.0738000130000005,25.480514920016162
Afghanistan,Southern Asia,153,3.575,0.31982,0.30335,0.23414,0.09719,0.3651,2015,0.769590625000001,3.512799982,-9.178893605679422
Rwanda,Sub-Saharan Africa,154,3.465,0.22208,0.42864,0.59201,0.55191,0.22628,2015,0.8160918750000001,3.4385999912000003,-3.795177054060043
Benin,Sub-Saharan Africa,155,3.34,0.28665,0.3191,0.4845,0.0801,0.1826,2015,0.761925000000001,3.901000013,40.43020312129954
Syria,Middle East and Northern Africa,156,3.006,0.6632,0.72193,0.15684,0.18906,0.47179,2015,0.7204356250000012,3.2921999786,14.901282083251656
Burundi,Sub-Saharan Africa,157,2.905,0.0153,0.22396,0.1185,0.10062,0.19727,2015,0.4750581250000008,3.0789999942,29.94836488812394
Togo,Sub-Saharan Africa,158,2.839,0.20868,0.28443,0.36453,0.10731,0.16681,2015,0.6785387500000007,3.5441999772000004,38.727819161765915
Denmark,Western Europe,1,7.526,1.44178,0.79504,0.57941,0.44453,0.36171,2016,1.5785749999999978,7.545999967199999,0.9679105620151127
Switzerland,Western Europe,2,7.509,1.52733,0.86303,0.58557,0.41203,0.28083,2016,1.5657249999999974,7.511399991600001,-1.414738076535612
Iceland,Western Europe,3,7.501,1.42666,0.86733,0.56624,0.14975,0.47678,2016,1.5640699999999998,7.5110000374,-0.8868294181755423
Norway,Western Europe,4,7.498,1.57744,0.79579,0.59609,0.35776,0.37895,2016,1.5854549999999987,7.541000035800001,0.43061206168481314
Finland,Western Europe,5,7.413,1.40598,0.81091,0.57104,0.41004,0.25492,2016,1.5372449999999993,7.5377999726,4.827374739206791
Canada,North America,6,7.404,1.44015,0.8276,0.5737,0.31329,0.44834,2016,1.5534600000000005,7.350599997000001,-2.0165179763772643
Netherlands,Western Europe,7,7.339,1.46468,0.81231,0.55211,0.29927,0.47416,2016,1.5503649999999995,7.404599971000001,1.4883800569728276
New Zealand,Australia and New Zealand,8,7.334,1.36066,0.83096,0.58147,0.41904,0.49401,2016,1.5664599999999995,7.313000026,0.29070569699696414
Australia,Australia and New Zealand,9,7.313,1.44443,0.8512,0.56837,0.32331,0.47407,2016,1.5578400000000006,7.276199984,-0.7682263370615564
Sweden,Western Europe,10,7.291,1.45181,0.83121,0.58218,0.40867,0.38254,2016,1.5632849999999996,7.319199983999999,-0.27895636575101235
Israel,Middle East and Northern Africa,11,7.267,1.33766,0.84917,0.36432,0.08728,0.32288,2016,1.504665000000001,7.1421999642000005,-1.6563126182441028
Austria,Western Europe,12,7.119,1.45038,0.80565,0.54355,0.21348,0.32865,2016,1.5385150000000012,7.142000008399999,0.684880572149412
United States,North America,13,7.104,1.50796,0.779,0.48163,0.14868,0.41077,2016,1.5090150000000009,6.9988000062,-3.2161719668015274
Costa Rica,Latin America and Caribbean,14,7.087,1.06879,0.76146,0.55225,0.10547,0.22553,2016,1.4378587500000004,7.1261999992,-0.7920501633942385
Germany,Western Europe,16,6.994,1.44787,0.81487,0.53466,0.28551,0.30452,2016,1.5330900000000007,6.9290000428,3.488561998066178
Brazil,Latin America and Caribbean,17,6.952,1.08754,0.61415,0.40425,0.14166,0.15776,2016,1.4466450000000006,6.657800045799999,-10.113108982588585
Belgium,Western Europe,18,6.929,1.42539,0.81959,0.51354,0.26248,0.2424,2016,1.4888650000000012,6.9213999588,-0.199067787334539
Ireland,Western Europe,19,6.907,1.48341,0.81455,0.54008,0.29754,0.44963,2016,1.5338750000000008,6.9644000474,1.1686038558590448
Luxembourg,Western Europe,20,6.871,1.69752,0.84542,0.5487,0.35329,0.27571,2016,1.4949899999999996,6.9359999832,2.09356260883348
Mexico,Latin America and Caribbean,21,6.778,1.11508,0.71143,0.37709,0.18355,0.11735,2016,1.4243850000000002,6.7252000138,-8.360552110223889
Singapore,Southeastern Asia,22,6.739,1.64555,0.94719,0.4877,0.46987,0.32706,2016,1.4850749999999993,6.542800005399999,-8.107492675948372
United Kingdom,Western Europe,23,6.725,1.40283,0.80991,0.50036,0.27399,0.50156,2016,1.4842450000000007,6.910000044999999,2.966717595732796
Chile,Latin America and Caribbean,24,6.705,1.2167,0.81883,0.37789,0.11451,0.31595,2016,1.4225687500000006,6.58939999,-3.4056702533070733
Panama,Latin America and Caribbean,25,6.701,1.18306,0.70835,0.48927,0.08423,0.2418,2016,1.3891137500000006,6.5380000282,-7.004600606895986
Argentina,Latin America and Caribbean,26,6.65,1.15137,0.69711,0.42284,0.07296,0.10989,2016,1.4063537499999992,6.4593999954,-7.535916374032673
Czech Republic,Central and Eastern Europe,27,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,2016,1.4378100000000005,6.654600041200001,5.240391147684298
United Arab Emirates,Middle East and Northern Africa,28,6.573,1.57352,0.72993,0.56215,0.35561,0.26591,2016,1.3778649999999988,6.736749940749999,-0.9494479369855102
Uruguay,Latin America and Caribbean,29,6.545,1.18157,0.72183,0.54388,0.21394,0.18056,2016,1.4193100000000003,6.4311999992,-2.9754060326768457
Malta,Western Europe,30,6.488,1.30782,0.80315,0.54994,0.17554,0.56237,2016,1.45389375,6.53399999,6.578539813018188
Colombia,Latin America and Caribbean,31,6.481,1.03032,0.59659,0.44735,0.05399,0.15626,2016,1.383125,6.3399999748,-5.533954499713408
France,Western Europe,32,6.478,1.39488,0.83795,0.46562,0.17808,0.1216,2016,1.4385150000000002,6.5151999824,0.28587644225496534
Thailand,Southeastern Asia,33,6.474,1.0893,0.64915,0.49553,0.02833,0.58696,2016,1.3750199999999997,6.2865999572,-7.011445237723424
Saudi Arabia,Middle East and Northern Africa,34,6.379,1.48953,0.59267,0.37904,0.30008,0.15457,2016,1.3942587499999997,6.375999972600001,-0.5594339360360984
Taiwan,Eastern Asia,34,6.379,1.39729,0.79565,0.32377,0.0663,0.25495,2016,1.3794237500000006,6.391,2.3356894515782103
Qatar,Middle East and Northern Africa,36,6.375,1.82427,0.71723,0.56679,0.48049,0.32388,2016,1.3974949999999986,6.4218,-3.58549417044083
Spain,Western Europe,37,6.361,1.34253,0.87896,0.37545,0.06137,0.17665,2016,1.3993674999999994,6.3513999756,0.4107442995165609
Algeria,Middle East and Northern Africa,38,6.355,1.05266,0.61804,0.21006,0.16157,0.07044,2016,1.374975,5.6676000434,-5.632101272908041
Guatemala,Latin America and Caribbean,39,6.324,0.83454,0.54039,0.50379,0.08701,0.28808,2016,1.3417300000000003,6.3437999992,5.06890803586106
Kuwait,Middle East and Northern Africa,41,6.239,1.61714,0.63569,0.43166,0.23669,0.15965,2016,1.3839637499999988,6.1486000038,-4.416969306113602
Bahrain,Middle East and Northern Africa,42,6.218,1.44024,0.65696,0.47375,0.25772,0.17147,2016,1.3625899999999986,6.113799978600001,4.057506067690395
Venezuela,Latin America and Caribbean,44,6.084,1.13367,0.61904,0.19847,0.08304,0.0425,2016,1.3790599999999984,5.5469,-33.273380063523916
